query,relevant_returned,recall@30,returned_book,relevance
마의 산,0,0.000,Der Himmelsfluss Ganges und seine heiligen Männer / Uwe Dürigen et al.,0
마의 산,0,0.000,Der Schimmelreiter / Theodor Storm,0
마의 산,0,0.000,Diebe / Dea Loher ,0
마의 산,0,0.000,Erlebnis Ötztal / Hannes Gasser,0
마의 산,0,0.000,FÜR IMMER DIE ALPEN / Benjamin Quaderer,0
마의 산,0,0.000,Karibu heißt willkommen / Stefanie Zweig,0
마의 산,0,0.000,LITERATUR UND KRITIK 575-576 / Ana Marwan,0
마의 산,0,0.000,LITERATUR UND KRITIK 579-580 / Ana Marwan,0
마의 산,0,0.000,Menschen aus dem Norden Menschen aus dem Süden / Ahn Do Hyun,0
마의 산,0,0.000,Octavio Paz Sor Juana oder die Fallstricke des Glaubens / Maria Bamberg,0
마의 산,0,0.000,Serenade in Mexiko / Caesar,0
마의 산,0,0.000,Sperrfort Rocca Alta / Luis Trenker,0
마의 산,0,0.000,Sprengstoff / Richard Bachmann,0
마의 산,0,0.000,Sämtliche Werke in zwei Bänden: Band I / Theodor Storm,0
마의 산,0,0.000,Tirol Land im Gebirge / A. Sickert,0
마의 산,0,0.000,Wo die Berge jung sind / Han Suyin,0
마의 산,0,0.000,海泡 李裕榮 敎授 追慕論文集 : 獨語獨文學論叢 / 海泡 李裕榮 敎授 追慕論文集刊行委員會 編,0
마의 산,0,0.000,許亨根敎授 華甲記念論叢 / 許亨根敎授華甲記念論叢刊行委員會,0
마의 산,0,0.000,장은수 교수님 ppt자료2(제목미상) / 장은수,0
마의 산,0,0.000,티롤 - 알프스의 심장 / 이순애,0
마의 산,0,0.000,회상과 성찰(1d) / 이창복 교수 정년퇴임기념논문 간행위원회 편,0
현대 문학,6,0.097,Adalbert Stifiter / Ursula Naumann,0
현대 문학,6,0.097,Der veruntreute Himmel / Franz Werfel,0
현대 문학,6,0.097,Die Buchmalerin / Beate Sauer,0
현대 문학,6,0.097,Die Erzählungen Band 1 / Thomas Mann,0
현대 문학,6,0.097,Die böse Mutter / Catherine Herriger,0
현대 문학,6,0.097,Einbildungskraft und Aufklärung / Gabriele Dürbeck,0
현대 문학,6,0.097,"Einführung in die Literaturwissenschaft / Georg Braungart, Rüdiger Zimmer",0
현대 문학,6,0.097,Erzählungen und Novellen des 19. Jahrhunderts (Band 1) / Walter Münz,0
현대 문학,6,0.097,Erzählungen und Novellen des 19. Jahrhunderts (Band 2) / Heinz Rölleke,0
현대 문학,6,0.097,Formen der Literatur in Einzeldarstellungen / Otto Knörrich,0
현대 문학,6,0.097,GEDICHTE FALLEN MIR ZU WIE REIFE ÄPFEL / st. Georgs Presse,0
현대 문학,6,0.097,Gedichte aus den Jahren 1908-1945 / Franz Werfel,0
현대 문학,6,0.097,Globalisierung und Literatur / Prof. Dr. Monika SCHMITZ-EMANS,0
현대 문학,6,0.097,Heinrich von Ofterdingen / Novalis,0
현대 문학,6,0.097,Klassik und Romantik / Walther Killy,0
현대 문학,6,0.097,LITERATUR UND KRITIK 575-576 / Ana Marwan,1
현대 문학,6,0.097,LITERATUR UND KRITIK 577-578 / Ana Marwan,1
현대 문학,6,0.097,LITERATUR UND KRITIK 579-580 / Ana Marwan,1
현대 문학,6,0.097,Lieder / Oswald von Wolkenstein,0
현대 문학,6,0.097,Nachkommenschaften / Adalbert Stifter,0
현대 문학,6,0.097,Romane des 20. Jahrhunderts 1 / (Interpretationen),1
현대 문학,6,0.097,Schubumkehr / Robert Menasse,1
현대 문학,6,0.097,Theorie der Novelle / Herbert Krämer,0
현대 문학,6,0.097,Über das moderne Drama / Günter Heintz,0
현대 문학,6,0.097,"Über, über dem Dorn. Gedichte aus hundert Jahren / Reiner Kunze",0
현대 문학,6,0.097,개정판 문학과 예술의 사회사 1 / 아르놀트 하우저,0
현대 문학,6,0.097,개정판 문학과 예술의 사회사 4 / 아르놀트 하우저,0
현대 문학,6,0.097,문학과 역사 / 호르스트 슈타인메츠,0
현대 문학,6,0.097,세계문학과 문화융복합 / 세계문학비교학회,0
현대 문학,6,0.097,현대문학이론 / 레이먼 셀던,1
고전 소설,5,0.044,Amphitryon / Heinrich von Kleist,0
고전 소설,5,0.044,Amphitryon / Heinrich von Kleist,0
고전 소설,5,0.044,BIBLIOTHEK DER FRÜHEN NEUZEIT GRIMMELSHAUSEN COURASCHE SPRINGINSFELD VOGELNEST I-II RATHSTÜBEL PLUT / Dieter Breuer,0
고전 소설,5,0.044,Das Amulett / Conrad Ferdinand Meyer,0
고전 소설,5,0.044,Das Majorat / E.T.A. Hoffmann,0
고전 소설,5,0.044,Das vergessene Pergament / Philipp Vandenberg,0
고전 소설,5,0.044,"Der Erlkönig / Herder, Gryphius",0
고전 소설,5,0.044,Der Mann im Schilf / George Saiko,0
고전 소설,5,0.044,Der Mantel des Darius / Georg Scherig,0
고전 소설,5,0.044,Der Schimmelreiter / Theodor Storm,0
고전 소설,5,0.044,Der Zauberberg 2 / Thomas Mann,1
고전 소설,5,0.044,Der alte Riesenhuf / Günther Rücker,0
고전 소설,5,0.044,Die Erzählungen Band 1 / Thomas Mann,1
고전 소설,5,0.044,Die Judenbuche / A. von Droste-Hülshoff,0
고전 소설,5,0.044,Die Marquise von O... Das Erdbeben in Chili / Heinrich von Kleist,0
고전 소설,5,0.044,Die böse Mutter / Catherine Herriger,0
고전 소설,5,0.044,Einbildungskraft und Aufklärung / Gabriele Dürbeck,0
고전 소설,5,0.044,Gernot Wolfgruber: Niemandsland Roman / Gernot Wolfgrube,0
고전 소설,5,0.044,LITERATUR UND KRITIK 579-580 / Ana Marwan,0
고전 소설,5,0.044,Medea / James J.Clauss und Sarah Iles Johnston,0
고전 소설,5,0.044,Penthesilea / Heinrich von Kleist,1
고전 소설,5,0.044,Penthesilea / Heinrich von Kleist,0
고전 소설,5,0.044,Romane des 19. Jahrhunderts / (Interpretationen),0
고전 소설,5,0.044,Romane des 20. Jahrhunderts 1 / (Interpretationen),0
고전 소설,5,0.044,Sprengstoff / Richard Bachmann,0
고전 소설,5,0.044,Sämtliche Werke in zwei Bänden: Band I / Theodor Storm,1
고전 소설,5,0.044,Tanz der Worte / Julia Franck,0
고전 소설,5,0.044,Tristan / Thomas Mann,1
고전 소설,5,0.044,더 로드 The Road / 코맥 매카시 Cormac MacCarthy,0
고전 소설,5,0.044,현대문학이론 / 레이먼 셀던,0
단편 연극,5,0.114,Antike Komödien in zwei Bänden 1.Band / Plautus/Terenz,0
단편 연극,5,0.114,Das Drama der Gegenwart Analysen zeitgenössischer Bühnenwerke / Wilhelm Heise,0
단편 연극,5,0.114,Das Spiel der Kurtisanen / Siegfried Obermeier,0
단편 연극,5,0.114,Das deutsche Drama 1 / Benno von Wiese,0
단편 연극,5,0.114,Der Böse Geist Lumpazivagabundus / Johann Nestroy,0
단편 연극,5,0.114,"Der Erlkönig / Herder, Gryphius",0
단편 연극,5,0.114,"Der Prinz, der Pilot und Antonie de Saint-Exupery (Das Rätsel um den letzten Flug) / Claas Triebel . Lino von Gartzen",0
단편 연극,5,0.114,Der Schimmelreiter / Theodor Storm,0
단편 연극,5,0.114,Die Liebeskunst / Ovid,0
단편 연극,5,0.114,Die böse Mutter / Catherine Herriger,0
단편 연극,5,0.114,Diebe / Dea Loher ,1
단편 연극,5,0.114,Emilia Galotti / G.E. Lessing,1
단편 연극,5,0.114,Fremdsprachentexte Antigone / Jean Anouilh,0
단편 연극,5,0.114,Kabale und Liebe / G. E. Lessing,0
단편 연극,5,0.114,Knaurs Schauspielführer / Verner Arpe,1
단편 연극,5,0.114,Momo / Wolfdietrich Rasch,0
단편 연극,5,0.114,Publikumsbeschimpfung und andere Sprechstücke / Peter Handke,1
단편 연극,5,0.114,Sprechübungen / Irmgard Welthase,0
단편 연극,5,0.114,Stille in einer lauten Welt / Dieter Mittelsten Scheid,0
단편 연극,5,0.114,Sämtliche Werke in zwei Bänden: Band I / Theodor Storm,0
단편 연극,5,0.114,Theorie des Dramas / Ulrich Staehle,0
단편 연극,5,0.114,WESEN UND FORMEN DES KOMISCHEN IM DRAMA / REINHOLD GRIMM und KLAUS L: BERGHAHN,0
단편 연극,5,0.114,Wiener Werkstätte / Waltraud Neuwirth,0
단편 연극,5,0.114,Witiko / Adalbert Stifter,0
단편 연극,5,0.114,Über das moderne Drama / Günter Heintz,0
단편 연극,5,0.114,"국제퍼포먼스학회(PSI Daegu) 드라마학회 협약서 / 대구문화재단, 한국문화학회",0
단편 연극,5,0.114,"동시대 연극의 퍼포먼스 드라마투르기 ""이론, 실천 그리고 방법론' / 한국드라마학회",0
단편 연극,5,0.114,"연극과 과학: 제 4차 산업 혁명 시대의 연극의 생태 / 한국드라마학회, 부경대학교 인문사회과학연구소",0
단편 연극,5,0.114,퍼포먼스 드라마투르기 / 권철근,1
단편 연극,5,0.114,한국 현대 연출가 연구 1 / 한국연극학회 편,0
사랑 소설,4,0.222,Agnes Bernauer / Friedrich Hebbel,0
사랑 소설,4,0.222,Alles über die Liebe / Manfred Hassebrauck,0
사랑 소설,4,0.222,Barbara oder die Frömmigkeit / Franz Werfel,0
사랑 소설,4,0.222,Das Ende von Unschuld / Dieter Richter,0
사랑 소설,4,0.222,Das Geheimnis ist immer die Liebe / Karoline Mayer et al.,0
사랑 소설,4,0.222,Das Marmoldbild Das Schöne Dürande / Joseph von Eichendorff,0
사랑 소설,4,0.222,"Das ist gut, es ist ein Traum / Carlotta von Starke",0
사랑 소설,4,0.222,Der Mann im Schilf / George Saiko,0
사랑 소설,4,0.222,Der Schimmelreiter / Theodor Storm,1
사랑 소설,4,0.222,Der Schimmelreiter / Theodor Storm,0
사랑 소설,4,0.222,Der Spiegel / Adalbert Stifter,0
사랑 소설,4,0.222,Der Talisman / Johann Nestroy,0
사랑 소설,4,0.222,Die Geschichte meines Lebens / James M. Cain,0
사랑 소설,4,0.222,Geschichte des Agathon / Chr.M.Wieland,0
사랑 소설,4,0.222,Geschichte vom braven Kasper und dem schönen Annerl / Clemens Brentano,1
사랑 소설,4,0.222,Grete Minde / Theodor Fontane,0
사랑 소설,4,0.222,Klassik und Romantik / Walther Killy,0
사랑 소설,4,0.222,Leben und Taten eines Taugenichts / Joseph von Eichendorff,0
사랑 소설,4,0.222,Let Love be your Greatest / Delores Friesen,0
사랑 소설,4,0.222,Lieben / Karin Struck,1
사랑 소설,4,0.222,"Love, Revolution und wie Kater Haohao nach Hollywood kam / Li Dawei",0
사랑 소설,4,0.222,Miss Sara Sampson / G.E. Lessing,0
사랑 소설,4,0.222,Penthesilea / Heinrich von Kleist,0
사랑 소설,4,0.222,Peregrina / Theodor Fontane,0
사랑 소설,4,0.222,Prosa faber / Max Frisch,0
사랑 소설,4,0.222,Reigen Liebelei / Arthur Schnitzler,1
사랑 소설,4,0.222,Silberlachs / Lim Chul-Woo,0
사랑 소설,4,0.222,Tanz der Worte / Julia Franck,0
사랑 소설,4,0.222,Titan / Jean Paul,0
사랑 소설,4,0.222,Tristan / Thomas Mann,0
모험 소설,5,0.263,Aus dem Leben eines Taugenichts / Joseph von Eichendorff,0
모험 소설,5,0.263,Burg Seebenstein / Anton Stalzer,0
모험 소설,5,0.263,Das Amulett / Conrad Ferdinand Meyer,1
모험 소설,5,0.263,Der Schimmelreiter / Theodor Storm,0
모험 소설,5,0.263,Der Schimmelreiter / Theodor Storm,0
모험 소설,5,0.263,Der Schimmelreiter / Theodor Storm,0
모험 소설,5,0.263,Der Spiegel / Adalbert Stifter,0
모험 소설,5,0.263,Der Talisman / Johann Nestroy,0
모험 소설,5,0.263,Der Zauberberg 2 / Thomas Mann,0
모험 소설,5,0.263,Die Geschichte meines Lebens / James M. Cain,0
모험 소설,5,0.263,Die geheimnisvolle Insel / Jules Verne,1
모험 소설,5,0.263,Die unendliche Geschichte / Michael Ende,0
모험 소설,5,0.263,Die wilde Geschichte vom Wassertrinker / John Irving,0
모험 소설,5,0.263,Every Dead Thing / John Connolly,0
모험 소설,5,0.263,Geschichte des Agathon / Christoph Martin Wieland,0
모험 소설,5,0.263,Im Schatten des Greif / Reto Luzius Fetz,0
모험 소설,5,0.263,Leben eines Taugenichts / Joseph von Eichendorff,1
모험 소설,5,0.263,Leben und Wandel Lazaril von Tormes / -,0
모험 소설,5,0.263,Medea / James J.Clauss und Sarah Iles Johnston,0
모험 소설,5,0.263,Mit Freunden unterwegs / Ingrid Trobisch,0
모험 소설,5,0.263,Momo / Wolfdietrich Rasch,1
모험 소설,5,0.263,Morbus Kitahara / Christoph Ransmayr,0
모험 소설,5,0.263,Peregrinus Proteus / Christoph Martin Wieland,0
모험 소설,5,0.263,Prosa faber / Max Frisch,0
모험 소설,5,0.263,Reise- und Abenteuergeschichten / Heinrich Pleticha,1
모험 소설,5,0.263,Rhone Saga / Pierre Imhasly,0
모험 소설,5,0.263,Und jedem Anfang wohnt ein Zauber inne / Alois Prinz,0
모험 소설,5,0.263,Vorhof der Wirklichkeit Roman / Hannelore Valencak,0
모험 소설,5,0.263,vom Winde verweht / Margaret Mitchell,0
모험 소설,5,0.263,더 로드 The Road / 코맥 매카시 Cormac MacCarthy,0
전쟁 비극,3,0.375,11.9. - Zehn Jahre danach der Einsturz eines Lügengebäudes / Mathias Bröckers und Christian C. Walther,0
전쟁 비극,3,0.375,>>Der Krieg Hat uns Geprägt<< 1 / Margarete Dörr,1
전쟁 비극,3,0.375,>>Der Krieg Hat uns Geprägt<< 2 / Margarete Dörr,1
전쟁 비극,3,0.375,Bahnwärter Thiel / Gerhart Hauptmann,0
전쟁 비극,3,0.375,Cella oder die Überwinder / Franz Werfel,0
전쟁 비극,3,0.375,Dantons Tod / Georg Büchner,0
전쟁 비극,3,0.375,Das Karpatenschloss Katastrophe im Atlantik / Jules Verne,0
전쟁 비극,3,0.375,Der Schimmelreiter / Theodor Storm,0
전쟁 비극,3,0.375,Der entstellte Held / Joachim Bauer ,0
전쟁 비극,3,0.375,Der gerechte Krieg / Reiner Steinweg,0
전쟁 비극,3,0.375,Der gerechte Krieg / Bertolt Brecht,0
전쟁 비극,3,0.375,Die Ahnfrau / Franz Grillparzer,0
전쟁 비극,3,0.375,Die Erde ist zu schön / Alfred Döblin,0
전쟁 비극,3,0.375,Die Generation vor dem Großen Krieg / Edward R. Tannenbaum,1
전쟁 비극,3,0.375,Die Soldaten / Jakob Michael Reinhold Lenz,0
전쟁 비극,3,0.375,Die Soldaten / J.M.R. Lenz,0
전쟁 비극,3,0.375,Gernot Wolfgruber: Niemandsland Roman / Gernot Wolfgrube,0
전쟁 비극,3,0.375,Ich will eine Welt ohne Kriege / Arno Gruen,0
전쟁 비극,3,0.375,Iphigenie in Aulis / Euripides,0
전쟁 비극,3,0.375,Lefeu oder der Abbruch Roman-Essay / Jean Amery,0
전쟁 비극,3,0.375,Penthesilea / Heinrich von Kleist,0
전쟁 비극,3,0.375,Penthesilea / Heinrich von Kleist,0
전쟁 비극,3,0.375,Prinz Friedrich von Homburg / Heinrich von Kleist,0
전쟁 비극,3,0.375,Prinz Friedrich von Homburg / Heinrich von Kleist,0
전쟁 비극,3,0.375,Sprengstoff / Richard Bachmann,0
전쟁 비극,3,0.375,Wallenstein / Friedrich Schiller,0
전쟁 비극,3,0.375,"Wo warst du, Adam? / Heinrich Böll",0
전쟁 비극,3,0.375,Zur politischen Ikonologie des gewaltsamen Todes / Reinhard Koselleck,0
전쟁 비극,3,0.375,나의 투쟁 상 / 아돌프 히트러,0
전쟁 비극,3,0.375,양철북 / 권터 그라스,0
나치 시대,6,0.500,329일 베를린장벽 붕괴에서 독일통일까지 / 호르스트 텔칙,0
나치 시대,6,0.500,Adi: Jugend eines Diktators / Gudrun Pausewang,0
나치 시대,6,0.500,Das Decameron / Heinrich Böll,0
나치 시대,6,0.500,Das Deutsche Reich und Der Erste Weltkrieg / Imanuel Geiss,0
나치 시대,6,0.500,Das Engelsgesicht (Die Geschichte eines Mafia-Killers aus Deutschland) / Andreas Ulrich,0
나치 시대,6,0.500,Das Nationalsozialistengesetz mit Verbotsgesetz / Dr. Egon Praunegger,1
나치 시대,6,0.500,Der Steppenwolf / Hermann Hesse,0
나치 시대,6,0.500,"Deutsche Flugschriften, Flugblätter, Gegenwartsalltag, Flugblätter der bürgerlichen Nationalgesichter / Adolf Leins/Franz-Martin Schmölz",0
나치 시대,6,0.500,Deutschlands Wiederkehr - Eine ungeteilte Nachkriegsgeschichte 1945-1990 / Peter Bender,0
나치 시대,6,0.500,"Die Namen der Nummern - Wie es gelang, die 86 Opfer eines NS-Verbrechens zu identifizieren / Hans-Joachim Lang",1
나치 시대,6,0.500,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
나치 시대,6,0.500,Die deutsche Exilliteratur 1933-1945 / Manfred Durzak,0
나치 시대,6,0.500,Die doppelte Staatsgründung - Deutsche Geschichte 1945-1955 / Christoph Kleßmann,0
나치 시대,6,0.500,Erfundene Wahrheit Deutsche Geschcithen seit 1945 / Marcel Reichranicki,0
나치 시대,6,0.500,Gebhardt Handbuch der deutschen Geschichte Band 21 / Karl Dietrich Erdmann,0
나치 시대,6,0.500,Geschichte der deutschen Sprache / Peter von Polenz,0
나치 시대,6,0.500,Ihr werdet erfahren dass ich der Herr bin / Walter Trobisch,0
나치 시대,6,0.500,Judentum und Antisemitismus _Studien zur Literatur und Germanistik in Österreich / Anne Betten et al.,0
나치 시대,6,0.500,Macht Literatur Krieg _Österreichische Literatur im Nationalsozialismus / Uwe Baur et al.,1
나치 시대,6,0.500,Protokolle 72/1 / Hrsg.v.Otto Breicha,1
나치 시대,6,0.500,Protokolle 73/2 / Hrsg.v.Otto Breicha,0
나치 시대,6,0.500,Tatsachen über Deutschland / Frankfurter Societaetas-Medien GmbH,0
나치 시대,6,0.500,Unterm Rad / Hermann Hesse,0
나치 시대,6,0.500,Von Caligari zu Hitler - Eine psychologische Geschichte des deutschen Films / Siegfried Kracauer,1
나치 시대,6,0.500,"Wo warst du, Adam? / Heinrich Böll",0
나치 시대,6,0.500,나의 투쟁 상 / 아돌프 히트러,0
나치 시대,6,0.500,나의 투쟁 하 / 아돌프 히트러,1
나치 시대,6,0.500,독일문학개설 / 오한진,0
나치 시대,6,0.500,헤르만 헤세의 진실 / 민성길,0
나치 시대,6,0.500,현대 독일시 개관 / 오한진,0
근대 역사,4,0.444,1984년도 제2학기 강의시간표 / 한국외국어대학교,0
근대 역사,4,0.444,6/2010 Die Fachhochschulrektorenkonferenz (FRK) 1972 - 1995 / HRK(Hochschulrektorenferenz),0
근대 역사,4,0.444,BIBLIOTHEK DER GESCHICHTE UND POLITIK DIE FRANZÖSISCHE REVOLUTION / Horst Günther,0
근대 역사,4,0.444,"DER NEUE PAULY, Enzyklopädie der Antike Ark-Ci 2 / Hubert Cancik et al.",0
근대 역사,4,0.444,"DER NEUE PAULY, Enzyklopädie der Antike Gru-Iog 5 / Hubert Cancik et al.",0
근대 역사,4,0.444,"DER NEUE PAULY, Enzyklopädie der Antike Ori-Poi 9 / Hubert Cancik et al.",0
근대 역사,4,0.444,Das 18. Jahrhundert: Der Bürger erhebt sich / Peter Schleuning,0
근대 역사,4,0.444,"Das wiener Konzerthaus, Geschichte und Bedeutung 1913-1983 / Friedlich Heller",0
근대 역사,4,0.444,Der ferne Spiegel / Barbara Wertheim Tuchman,0
근대 역사,4,0.444,Der große Bildatlas zur Weltgeschichte / Dr. Reinhard Barth,0
근대 역사,4,0.444,Die 70er Jahre / Edgar Wolfrum,1
근대 역사,4,0.444,Die 80er Jahre / Edgar Wolfrum,1
근대 역사,4,0.444,Die Herrscher und Gestalten des Mittelalters / Reinhard Pohanka,0
근대 역사,4,0.444,Die Römische Republik / Joseph Vogt,0
근대 역사,4,0.444,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),1
근대 역사,4,0.444,Florenz und Bagdad - Eine westörtliche Geschichte des Blicks / Hans Belting,0
근대 역사,4,0.444,Frühlings Erwachen / Frank Wedekind,0
근대 역사,4,0.444,Geschichte des Agathon / Chr.M.Wieland,0
근대 역사,4,0.444,Karthago / Werner Huss,0
근대 역사,4,0.444,LITERATUR UND KRITIK 579-580 / Ana Marwan,0
근대 역사,4,0.444,Majestät! - Die letzten grossen Monarchien / Guido Knopp,0
근대 역사,4,0.444,Protokolle 73/2 / Hrsg.v.Otto Breicha,0
근대 역사,4,0.444,Römische Geschichte / Hermann Bengtson,0
근대 역사,4,0.444,"The post-pandemic era, welcome to the new humanity / ISBS, SEMIOSIS",0
근대 역사,4,0.444,Unter der Bedeckung eines Hutes / H. C. Artmann,0
근대 역사,4,0.444,Weimar / Walter Laqueur,1
근대 역사,4,0.444,"Wieland Epoche-Werk-Wirkung / Seven-Aage Jorgensen, Herbert Jaumann, John McCarthy, Horst Thome",0
근대 역사,4,0.444,"Wo warst du, Adam? / Heinrich Böll",0
근대 역사,4,0.444,러시아 혁명사 / 조영명,0
근대 역사,4,0.444,서구의 몰락 2 / 오스발트 슈펭글러,0
2차 세계대전,3,0.750,"""baustelle kultur"" _Diskurslagen in der österreichischen Literatur 1918-1933/38 / Primus-Heinz Kucher et al.",0
2차 세계대전,3,0.750,>>Der Krieg Hat uns Geprägt<< 1 / Margarete Dörr,0
2차 세계대전,3,0.750,>>Der Krieg Hat uns Geprägt<< 2 / Margarete Dörr,0
2차 세계대전,3,0.750,Amerikas Kreuzzüge -Was die Weltmacht treibt / Claus Kleber,0
2차 세계대전,3,0.750,BIBLIOGRAPHIE ZUR DEUTSCHLANDPOLITIK 1941-1974 / Karl dietrich Bracher et al.,1
2차 세계대전,3,0.750,Bellum Gallicum Wortkunde und Kommentar 2. Heft: Buch V-VII / Friedrich Dürrenmatt,0
2차 세계대전,3,0.750,Cella oder die Überwinder / Franz Werfel,0
2차 세계대전,3,0.750,Das Deutsche Reich und Der Erste Weltkrieg / Imanuel Geiss,0
2차 세계대전,3,0.750,Daten deutscher Dichtung II / H.A und E.Frenzel,0
2차 세계대전,3,0.750,De bello Gallico Der Gallische Krieg (Lateinisch/Deutsch) / Gaius Iulius Caesar,0
2차 세계대전,3,0.750,Der Zweite Weltkrieg / Claudia Vidoni,1
2차 세계대전,3,0.750,Der gerechte Krieg / Reiner Steinweg,0
2차 세계대전,3,0.750,Deutschlands Wiederkehr - Eine ungeteilte Nachkriegsgeschichte 1945-1990 / Peter Bender,0
2차 세계대전,3,0.750,Die Blechtrommel. Danziger Trilogie 2 / Günter Grass,0
2차 세계대전,3,0.750,Die Generation vor dem Großen Krieg / Edward R. Tannenbaum,0
2차 세계대전,3,0.750,Die Rampe 2/82 / Herbert Friedll,1
2차 세계대전,3,0.750,Die Soldaten / Jakob Michael Reinhold Lenz,0
2차 세계대전,3,0.750,Die Soldaten / J.M.R. Lenz,0
2차 세계대전,3,0.750,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
2차 세계대전,3,0.750,Grimmelshausen Simplicissimus Simplicissimus / Alfred Kelltat,0
2차 세계대전,3,0.750,Ich will eine Welt ohne Kriege / Arno Gruen,0
2차 세계대전,3,0.750,Prinz Friedrich von Homburg / Heinrich von Kleist,0
2차 세계대전,3,0.750,Prinz Friedrich von Homburg / Heinrich von Kleist,0
2차 세계대전,3,0.750,Römische Geschichte der Zweite Punische Krieg III / Livius,0
2차 세계대전,3,0.750,Sämtliche Werke in zwei Bänden: Band II / Theodor Storm,0
2차 세계대전,3,0.750,Wallenstein / Friedrich Schiller,0
2차 세계대전,3,0.750,Wallenstein I Wallensteins Lager Die Piccolomini / Friedrich Schiller,0
2차 세계대전,3,0.750,"Wo warst du, Adam? / Heinrich Böll",0
2차 세계대전,3,0.750,나의 투쟁 상 / 아돌프 히트러,0
2차 세계대전,3,0.750,양철북 / 권터 그라스,0
오스트리아 역사,10,0.435,800 Jahre junges Innsbruck / Walter Myss,0
오스트리아 역사,10,0.435,Anton Hanak / Wiener Secession,0
오스트리아 역사,10,0.435,Austria 2005 - Remembrance & Renewal in the heart of Europe / Federal Ministry for Foreign Affairs,0
오스트리아 역사,10,0.435,Austrian foreign policy yearbook / Federal Ministry for Foreign Affairs,0
오스트리아 역사,10,0.435,Damals in Wien / Franz Taucher,1
오스트리아 역사,10,0.435,Das österreichische Deutsch in Gegenwart und Geschichte / Peter Wiesinger,0
오스트리아 역사,10,0.435,Der Herrenstand in Oberösterreich / Peter Feldbauer,1
오스트리아 역사,10,0.435,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
오스트리아 역사,10,0.435,Dritter Band Der Nachsommer / Adalbert Stifter,0
오스트리아 역사,10,0.435,Herrschafts- und Staatsbildung im Raum der heutigen Landkreise Brückenau und Hammelburg Studien zum Historischen Atlas von Bayern-Teil Franken / .,0
오스트리아 역사,10,0.435,IMAGO AUSTRIAE / Otto Schulmeister et al.,0
오스트리아 역사,10,0.435,Katalog des Österreichischen Varockmuseums 1 / Elfriede Baum,0
오스트리아 역사,10,0.435,Komplex Österreich / Wolfgang Müller-Funk,1
오스트리아 역사,10,0.435,Kulturlandschaft Österreich / Otto Staiminger,0
오스트리아 역사,10,0.435,Loetz Austria 1900 / Waltraud Neuwirth,0
오스트리아 역사,10,0.435,Protokolle 73/2 / Hrsg.v.Otto Breicha,0
오스트리아 역사,10,0.435,Salzburg - Leben in einer Stadt / Arno Gasteiger und Oskar Anrather,0
오스트리아 역사,10,0.435,Von Bologna nach Quedlinburg / HRK(Hochschulrektorenferenz),0
오스트리아 역사,10,0.435,Waidwerk im Burgenland / Sepp Wölfer,0
오스트리아 역사,10,0.435,Wien Wörtlich / Josef Weinheber,0
오스트리아 역사,10,0.435,Zur ersten EU-Präsidentschaft Österreichs 1998 / Wolfgang Schüssel,1
오스트리아 역사,10,0.435,Zur ersten EU-Präsidentschaft Österreichs 1998 / Wolfgang Schüssel,1
오스트리아 역사,10,0.435,ÖSTERREICH / Ernst Hausner,0
오스트리아 역사,10,0.435,Österreich / Thomas Bernhard,1
오스트리아 역사,10,0.435,"Österreich in Geschichte und Literatur / Erwin Pröll, Gerald Stourzh, ...etc",0
오스트리아 역사,10,0.435,Österreichisches Jahrbuch 1972 / Bundespressedienst,0
오스트리아 역사,10,0.435,Österreichisches Montanwesen / Michael Mitterauer,1
오스트리아 역사,10,0.435,Österreichs Aristokratie im Vormärz / Hannes Stekl,1
오스트리아 역사,10,0.435,오스트리아의 역사와 문화 1 / 임종대,1
오스트리아 역사,10,0.435,오스트리아의 역사와 문화 2 / Lothar Mikos,1
독일 민법,1,0.500,독일 민법전 / 양창선,1
독일 민법,1,0.500,DEUTSCHE AKADEMIE FÜR SPRACHE UND DICHTUNG JAHRBUCH 1971 / Deutsche Akademie für Sprache und Dichtung,0
독일 민법,1,0.500,Das Decameron / Heinrich Böll,0
독일 민법,1,0.500,Das Nationalsozialistengesetz mit Verbotsgesetz / Dr. Egon Praunegger,0
독일 민법,1,0.500,Der Fall Deutschland / Piper,0
독일 민법,1,0.500,"Deutsche Flugschriften, Flugblätter, Gegenwartsalltag, Flugblätter der bürgerlichen Nationalgesichter / Adolf Leins/Franz-Martin Schmölz",0
독일 민법,1,0.500,Deutsche Kurzgeschichten I 9.-10. Schuljahr / Günter Lange,0
독일 민법,1,0.500,Deutsche und Juden / Wanda Kampmann,0
독일 민법,1,0.500,Deutschland im 19. Jahrhundert / Manfred Görtemaker,0
독일 민법,1,0.500,Deutschland. Ein Märchen / Wolf Biermann,0
독일 민법,1,0.500,Deutschlands Wiederkehr - Eine ungeteilte Nachkriegsgeschichte 1945-1990 / Peter Bender,0
독일 민법,1,0.500,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
독일 민법,1,0.500,Ein Land auf dem rechten Weg? / Günter Scheidl,0
